wl,energy,n,k,e_r,e_i,energy (nm),wl (nm)
0.3444,3.588606272,0.47332,3.27476,-10.5,3.100018806,3.606271777,344.4
0.34925,3.538771654,0.49866,3.30888,-10.70002506,3.300012202,3.55619184,349.25
0.35424,3.488922764,0.50669,3.35511,-11.00002836,3.400001372,3.506097561,354.24
0.35937,3.439118457,0.52896,3.40291,-11.29999779,3.600006547,3.456048084,359.37
0.36466,3.389228322,0.53878,3.4337,-11.5000118,3.700017772,3.405912357,364.66
0.3701,3.33941097,0.56026,3.4805,-11.79998898,3.89996986,3.35584977,370.1
0.37571,3.28954779,0.5697,3.51063,-11.99996491,4.000011822,3.30574113,375.71
0.38149,3.239707463,0.57238,3.58157,-12.5000248,4.100038073,3.255655456,381.49
0.38745,3.189872242,0.58851,3.65327,-13.00003767,4.299971855,3.205574913,387.45
0.3936,3.140030488,0.60855,3.69734,-13.29998997,4.500032514,3.155487805,393.6
0.39995,3.090176272,0.63038,3.72792,-13.50000858,4.700012419,3.105388174,399.95
0.40651,3.040308971,0.64527,3.79689,-14.0000003,4.900038421,3.055275393,406.51
0.41328,2.990505226,0.65983,3.86463,-14.49998941,5.099997626,3.005226481,413.28
0.42029,2.94062671,0.67409,3.93121,-15.00001474,5.299978698,2.955102429,420.29
0.42753,2.890828714,0.68807,3.99668,-15.5000107,5.499991215,2.905059294,427.53
0.43503,2.840990277,0.71373,4.06318,-16.0000212,5.800026923,2.854975519,435.03
0.4428,2.791138211,0.73874,4.12865,-16.50001403,6.099997802,2.804878049,442.8
0.45085,2.741301985,0.76315,4.19314,-17.00002514,6.399989582,2.754796496,450.85
0.4592,2.691454704,0.787,4.25668,-17.49995562,6.70001432,2.704703833,459.2
0.46786,2.641636387,0.82149,4.32144,-17.99999785,7.100039491,2.654640277,467.86
0.47686,2.591779558,0.84413,4.38321,-18.49997445,7.399998115,2.60453802,476.86
0.48621,2.541938668,0.87714,4.44628,-19.00003126,7.800020078,2.55445178,486.21
0.49594,2.492067589,0.90938,4.50855,-19.50005112,8.199970398,2.504335202,495.94
0.50606,2.442232146,0.94091,4.57004,-19.99995397,8.599992673,2.454254436,506.06
0.5166,2.392404181,0.97131,4.68438,-20.99997287,9.099970276,2.404181185,516.6
0.52759,2.34256904,1.00133,4.7437,-21.50002792,9.500018242,2.354100722,527.59
0.53906,2.292724372,1.03008,4.85397,-22.49995995,9.999954835,2.304010685,539.06
0.55104,2.24287892,1.05808,4.96181,-23.50002519,10.49998385,2.253919861,551.04
0.56356,2.193051317,1.09481,5.06938,-24.50000465,11.10001584,2.203846973,563.56
0.57667,2.143194548,1.1314,5.12641,-25.00001353,11.60004055,2.153744776,576.67
0.5904,2.093353659,1.1662,5.23068,-25.99999082,12.20003803,2.103658537,590.4
0.6048,2.043511905,1.19016,5.37741,-27.50005748,12.79995657,2.053571429,604.8
0.61992,1.993670151,1.23314,5.43329,-28.00000596,13.40001446,2.003484321,619.92
0.63582,1.943814287,1.26422,5.57658,-29.49999229,14.10004794,1.953383033,635.82
0.65255,1.893979005,1.30407,5.67456,-30.50003263,14.80004692,1.903302429,652.55
0.67018,1.844155302,1.34164,5.81378,-32.00004,15.5999996,1.85323346,670.18
0.6888,1.794303136,1.39555,5.91165,-33.00004592,16.50000632,1.803135889,688.8
0.70848,1.744461382,1.44648,6.04916,-34.50003232,17.49997791,1.75304878,708.48
0.72932,1.694614161,1.49588,6.18366,-35.99999402,18.50002664,1.702956178,729.32
0.75142,1.644773895,1.5737,6.3227,-37.5000036,19.90006598,1.652870565,751.42
0.7749,1.594936121,1.66134,6.50077,-39.49996,21.59997846,1.602787456,774.9
0.7999,1.545088136,1.77582,6.64481,-40.99996326,23.59997299,1.552694087,799.9
0.82656,1.495252613,1.86983,6.81882,-43.00004196,25.5000684,1.50261324,826.56
0.85506,1.445414357,1.97631,6.95743,-44.50003099,27.50007697,1.452529647,855.06
0.8856,1.395569106,2.05685,7.12254,-46.49994413,29.2999928,1.402439024,885.6
0.9184,1.345727352,2.13143,7.24865,-47.99993298,30.89998014,1.352351916,918.4
0.95372,1.295889779,2.16086,7.4276,-50.49992582,32.10000747,1.30226901,953.72
0.99187,1.246046357,2.18402,7.60065,-52.99993706,33.19994323,1.252180225,991.87
1.0332,1.196202091,2.19287,7.79799,-55.9999692,34.19995666,1.202090592,1033.2
1.07812,1.146362186,2.19247,8.05028,-60.00008338,35.29999478,1.152005343,1078.12
1.12713,1.09651593,2.19219,8.325,-64.499928,36.4999635,1.10191371,1127.13
1.1808,1.046676829,2.21278,8.65427,-69.9999939,38.29999114,1.051829268,1180.8
1.23984,0.996835075,2.22061,9.05158,-76.99999172,40.20005813,1.00174216,1239.84
1.3051,0.946989503,2.25471,9.49124,-84.99991955,42.79998748,0.951651214,1305.1
1.3776,0.897151568,2.30088,10.03962,-95.49992097,46.19992173,0.901567944,1377.6
1.45864,0.847307081,2.34655,10.65393,-107.9999275,49.99995888,0.851478089,1458.64
1.5498,0.79746806,2.40614,11.3044,-121.9999497,54.39993803,0.801393728,1549.8
1.65312,0.747626307,2.51787,12.01414,-137.9998906,60.50008536,0.75130662,1653.12
1.7712,0.697784553,2.69499,12.8943,-159.0000014,69.50001911,0.701219512,1771.2
,,,,,,,
wl,,k,,,,,
0.3444,,,,,,,
0.34925,,,,,,,
0.35424,,,,,,,
0.35937,,,,,,,
0.36466,,,,,,,
0.3701,,,,,,,
0.37571,,,,,,,
0.38149,,,,,,,
0.38745,,,,,,,
0.3936,,,,,,,
0.39995,,,,,,,
0.40651,,,,,,,
0.41328,,,,,,,
0.42029,,,,,,,
0.42753,,,,,,,
0.43503,,,,,,,
0.4428,,,,,,,
0.45085,,,,,,,
0.4592,,,,,,,
0.46786,,,,,,,
0.47686,,,,,,,
0.48621,,,,,,,
0.49594,,,,,,,
0.50606,,,,,,,
0.5166,,,,,,,
0.52759,,,,,,,
0.53906,,,,,,,
0.55104,,,,,,,
0.56356,,,,,,,
0.57667,,,,,,,
0.5904,,,,,,,
0.6048,,,,,,,
0.61992,,,,,,,
0.63582,,,,,,,
0.65255,,,,,,,
0.67018,,,,,,,
0.6888,,,,,,,
0.70848,,,,,,,
0.72932,,,,,,,
0.75142,,,,,,,
0.7749,,,,,,,
0.7999,,,,,,,
0.82656,,,,,,,
0.85506,,,,,,,
0.8856,,,,,,,
0.9184,,,,,,,
0.95372,,,,,,,
0.99187,,,,,,,
1.0332,,,,,,,
1.07812,,,,,,,
1.12713,,,,,,,
1.1808,,,,,,,
1.23984,,,,,,,
1.3051,,,,,,,
1.3776,,,,,,,
1.45864,,,,,,,
1.5498,,,,,,,
1.65312,,,,,,,
1.7712,,,,,,,
